"id","inventario_stock","suap_stock","data_inventario","data_suap","current_stock","current_suap_stock","created_at","updated_at","deleted_at","asset_id","team_id"
"19","46","46","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"19","1"
"20","46","46","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"20","1"
"21","84","84","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"21","1"
"22","369","369","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"22","1"
"23","339","339","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"23","1"
"24","333","333","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"24","1"
"25","14","14","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"25","1"
"26","8","8","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"26","1"
"27","17","17","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"27","1"
"28","30","30","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"28","1"
"29","1","1","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"29","1"
"30","30","30","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"30","1"
"31","99","99","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"31","1"
"32","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"32","1"
"33","24","24","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"33","1"
"34","20","20","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"34","1"
"35","22","22","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"35","1"
"36","23","23","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"36","1"
"37","30","30","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"37","1"
"38","154","154","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"38","1"
"39","48","48","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"39","1"
"40","268","268","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"40","1"
"41","87","87","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"41","1"
"42","187","187","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"42","1"
"43","133","133","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"43","1"
"44","170","170","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"44","1"
"45","287","287","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"45","1"
"46","140","140","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"46","1"
"47","4","4","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"47","1"
"48","42","42","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"48","1"
"49","40","40","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"49","1"
"50","36","36","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"50","1"
"51","42","42","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"51","1"
"52","7","7","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"52","1"
"53","24","24","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"53","1"
"54","89","89","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"54","1"
"55","1","1","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"55","1"
"56","24","24","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"56","1"
"57","15","15","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"57","1"
"58","8","8","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"58","1"
"59","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"59","1"
"60","8","8","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"60","1"
"61","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"61","1"
"62","9","9","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"62","1"
"63","494","494","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"63","1"
"64","17","17","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"64","1"
"65","4","4","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"65","1"
"66","1","1","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"66","1"
"67","2","2","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"67","1"
"68","50","50","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"68","1"
"69","46","46","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"69","1"
"70","47","47","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"70","1"
"71","27","27","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"71","1"
"72","25","25","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"72","1"
"73","32","32","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"73","1"
"74","16","16","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"74","1"
"75","246","246","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"75","1"
"76","32","32","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"76","1"
"77","9","9","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"77","1"
"78","56","56","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"78","1"
"79","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"79","1"
"80","19","19","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"80","1"
"81","2","2","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"81","1"
"82","7","7","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"82","1"
"83","56","56","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"83","1"
"84","60","60","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"84","1"
"85","33","33","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"85","1"
"86","10","10","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"86","1"
"87","26","26","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"87","1"
"88","70","70","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"88","1"
"89","12","12","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"89","1"
"90","15","15","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"90","1"
"91","22","22","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"91","1"
"92","13","13","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"92","1"
"93","3","3","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"93","1"
"94","6","6","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"94","1"
"95","17","17","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"95","1"
"96","41","41","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"96","1"
"97","3","3","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"97","1"
"98","19","19","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"98","1"
"99","28","28","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"99","1"
"100","119","119","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"100","1"
"101","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"101","1"
"102","6","6","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"102","1"
"103","348","348","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"103","1"
"104","9","9","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"104","1"
"105","8","8","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"105","1"
"106","6","6","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"106","1"
"107","9","9","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"107","1"
"108","1","1","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"108","1"
"109","45","45","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"109","1"
"110","59","59","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"110","1"
"111","14","14","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"111","1"
"112","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"112","1"
"113","896","896","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"113","1"
"114","2","2375","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"114","1"
"115","9","9","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"115","1"
"116","24","24","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"116","1"
"117","23","23","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"117","1"
"118","9","9","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"118","1"
"119","8","8","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"119","1"
"120","59","59","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"120","1"
"121","29","29","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"121","1"
"122","19","19","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"122","1"
"123","40","40","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"123","1"
"124","110","110","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"124","1"
"125","44","44","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"125","1"
"126","19","19","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"126","1"
"127","10","10","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"127","1"
"128","40","40","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"128","1"
"129","48","48","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"129","1"
"130","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"130","1"
"131","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"131","1"
"132","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"132","1"
"133","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"133","1"
"134","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"134","1"
"135","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"135","1"
"136","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"136","1"
"137","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"137","1"
"138","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"138","1"
"139","4","4","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"139","1"
"140","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"140","1"
"141","7","7","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"141","1"
"142","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"142","1"
"143","4","4","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"143","1"
"144","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"144","1"
"145","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"145","1"
"146","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"146","1"
"147","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"147","1"
"148","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"148","1"
"149","28","28","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"149","1"
"150","10","10","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"150","1"
"151","25","25","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"151","1"
"152","17","17","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"152","1"
"153","7","7","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"153","1"
"154","17","17","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"154","1"
"155","46","46","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"155","1"
"156","1","1","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"156","1"
"157","14","14","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"157","1"
"158","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:14","2022-03-01 06:11:14",NULL,"158","1"
"159","24","24","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"159","1"
"160","27","27","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"160","1"
"161","457","457","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"161","1"
"162","19","19","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"162","1"
"163","187","187","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"163","1"
"164","197","197","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"164","1"
"165","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"165","1"
"166","1","1","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"166","1"
"167","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"167","1"
"168","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"168","1"
"169","341","341","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"169","1"
"170","10","10","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"170","1"
"171","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"171","1"
"172","6","6","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"172","1"
"173","49","49","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"173","1"
"174","5","5","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"174","1"
"175","141","141","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"175","1"
"176","1","1","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"176","1"
"177","1","1","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"177","1"
"178","1","1","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"178","1"
"179","2","2","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"179","1"
"180","1","1","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"180","1"
"181","26","26","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"181","1"
"182","2","2","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"182","1"
"183","11","11","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"183","1"
"184","141","141","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"184","1"
"185","56","56","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"185","1"
"186","2","2","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"186","1"
"187","10","10","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"187","1"
"188","3","3","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"188","1"
"189","123","123","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:15","2022-03-01 06:11:15",NULL,"189","1"
